RUS,ENG
"Из книги вы узнаете, что нынешняя концепция лечения депрессии, СДВГ и повышенной тревожности давно устарела.","From the book, you will learn that the current concept of treating depression, ADHD, and increased anxiety is long outdated."
"Призываю читателей внимательно изучить все то, чем с нами решил поделиться Джон Грэй.",I urge readers to carefully study everything that John Gray has decided to share with us.
Для меня было большой честью по просьбе Джона Грэя написать историю об исцелении Колина и пригласить вас в это увлекательное путешествие к духовно-интеллектуальным высотам самопознания.,"It was a great honor for me, at John Gray's request, to write the story of Colin's healing and invite you on this fascinating journey to the spiritual and intellectual heights of self-discovery."
"Питер Гринлоу, автор книг Why Diets are Failing Us («Почему диеты не приносят пользы»), The TDOS Syndrome™ и The TDOS Protocol©
   Вступление.","Peter Greenlaw, author of the books Why Diets are Failing Us, The TDOS Syndrome™, and The TDOS Protocol© Introduction."
"«СДВГ не так опасен, как принято считать.",ADHD is not as dangerous as it is commonly believed.
"На самом деле он во много раз опаснее!»
   Когда речь заходит о работе мозга, о памяти и о таких расстройствах, как СДВГ – синдром дефицита внимания и гиперактивности, – то первый вопрос, который мне задают, звучит примерно так: «Не кажется ли вам, что СДВГ не так страшен, как принято думать?»
   И действительно, вдруг в большинстве случаев этот диагноз ставится только из-за того, что врач преувеличивает опасность симптомов больного и для удобства быстренько вешает на него ярлык под названием «синдром дефицита внимания и гиперактивности»?","In fact, he is much more dangerous!"
"Сейчас при ответе на подобные вопросы я редко ограничиваюсь простым «нет» или «да», как делал это в прошлом.","Now when answering such questions, I rarely limit myself to a simple ""no"" or ""yes"" as I used to in the past."
"Причиной того, что я изменил свою точку зрения, послужило беспокойство большого количества людей, борющихся с СДВГ, из-за потенциального вреда медицинских препаратов, выписываемых врачами для лечения этого синдрома.",The reason I changed my viewpoint was the concern of a large number of people struggling with ADHD about the potential harm of medications prescribed by doctors to treat this disorder.
"Особенно тревожно становится в тех случаях, когда пытаются излечить от СДВГ не взрослых людей, а детей.","It becomes especially troubling in cases when there is an attempt to cure not adults, but children of ADHD."
"Я убежден, что ребенок с СДВГ должен проходить терапию, включающую в себя только натуральные методы и средства.",I am convinced that a child with ADHD should undergo therapy that includes only natural methods and remedies.
"Никаких общепринятых медикаментов ему принимать не нужно, потому что, согласно результатам многочисленных исследований, выполняющихся двойным слепым методом, эти препараты обладают тяжелыми и серьезными побочными эффектами.","He does not need to take any conventional medications because, according to the results of numerous studies conducted using the double-blind method, these drugs have severe and serious side effects."
В случае натуральных методов и средств этого не наблюдается.,"In the case of natural methods and remedies, this is not observed."
"Скорее всего, до сегодняшнего дня вы и не знали об этом.","Most likely, until today you didn't know about it."
"Кстати, есть люди, которые, задавая вопрос: «Не кажется ли вам, что СДВГ не так страшен, как о нем принято думать?» – на самом деле хотят спросить, не является ли этот СДВГ целиком и полностью надуманной проблемой?","By the way, there are people who, when asking the question, ""Don't you think that ADHD is not as bad as it is thought to be?"" actually want to ask whether this ADHD is a completely fabricated problem?"
"На это я, безусловно, всегда отвечаю отрицательно.Все новые и новые проблемы
   В США и во многих других странах мира проявляются весьма печальные тенденции стремительного распространения расстройств и заболеваний мозга.","To that, I always, of course, respond negatively. All sorts of new problems are emerging. In the USA and in many other countries around the world, very sad trends of the rapid spread of brain disorders and diseases are becoming apparent."
"Эти тенденции, негативно влияющие на все аспекты жизни современного общества, представляют собой вот такой пугающий «обратный отсчет»:
   • у каждогодесятогоамериканского ребенка диагностируют СДВГ;
   • ежегодно каждыйдевятыйамериканский студент тщательно продумывает самоубийство;
   • каждыйвосьмойамериканский подросток страдает от депрессии;
   • у каждойседьмойамериканки в возрасте от 55 начинает развиваться деменция;
   • у каждогошестогоамериканского ребенка наблюдаются нарушения развития;
   • каждыйпятыйжитель США страдает каким-либо нарушением работы мозга;
   • каждыйчетвертыйамериканский ребенок подвергается травле и жестокому обращению;
   • каждыйтретийжитель США в возрасте от 70 лет страдает от существенного ухудшения памяти;
   • каждомувторомужителю США в возрасте от 85 ставят диагноз «болезнь Альцгеймера»;
   • в 2013 году в США на 42 мальчика приходилсяодинс расстройством аутистического спектра.","These trends, negatively affecting all aspects of life in modern society, represent a frightening ""countdown"": 
   • every tenth American child is diagnosed with ADHD;
   • annually, every ninth American college student seriously contemplates suicide;
   • every eighth American teenager suffers from depression;
   • dementia begins developing in every seventh American woman aged 55 and over;
   • every sixth American child has developmental disorders;
   • every fifth resident of the USA suffers from some brain disorder;
   • every fourth American child experiences bullying and abuse;
   • every third American aged 70 and over suffers from significant memory decline;
   • every second American aged 85 and over is diagnosed with Alzheimer's disease;
   • in 2013, there was one boy with autism spectrum disorder for every 42 boys in the USA."
При этом данные от 1980 года говорят о совсем другом соотношении: один аутист – на 10 тысяч здоровых.,"At the same time, data from 1980 indicates a completely different ratio: one autistic person per 10,000 healthy individuals."
"Знаете ли вы, что с каждым годом все перечисленные показатели растут?",Are you aware that each year all the mentioned indicators are increasing?
"Сейчас в США от расстройств психики страдает в 35 раз больше людей, чем три десятилетия назад.","Currently, in the USA, 35 times more people suffer from mental disorders than three decades ago."
"Хотите ли вы или ваши близкие стать представителем какой-нибудь из цифр «обратного отсчета», описанного выше?","Do you or your loved ones want to become a representative of any of the ""countdown"" figures described above?"
"Если нет, то эта книга – для вас.","If not, then this book is for you."
"Вне зависимости от возраста вы на каждом этапе жизни будете сталкиваться с новыми «барьерами», бросающими вызов вашему мышлению и памяти.","Regardless of age, you will face new ""barriers"" at every stage of life that challenge your thinking and memory."
"Эти трудности способны повлечь за собой нарушения работы мозга, которые принято объединять одним термином – «синдром дефицита внимания и гиперактивности».","These difficulties can lead to brain dysfunctions commonly referred to as ""Attention Deficit Hyperactivity Disorder."""
"Мозг всякого современного человека – и пожилого, и молодого, и даже очень юного – испытывает колоссальные нагрузки, способные привести к значительным проблемам вобщении с окружающими.","The brain of every modern person - both elderly and young, and even very young - experiences enormous stress, which can lead to significant problems in communication with others."
"Я убежден, что СДВГ не так опасен, как принято считать.",I am convinced that ADHD is not as dangerous as it is commonly believed.
На самом деле он во много раз опаснее.,"In fact, he is much more dangerous."
"Печально, что с этой проблемой сегодня борются огромным количеством почти бесполезных медицинских препаратов.",It is sad that this problem is being tackled today with a huge number of almost useless medical drugs.
Об этом вы узнаете подробнее в следующих главах.,You will learn more about this in the following chapters.
"Первая книга из цикла, посвященного исцелению мозга, содержит много важной и интересной информации, которую можно начать применять на практике буквально сразу.",The first book in the series dedicated to brain healing contains a lot of important and interesting information that can be put into practice immediately.
"Выповысите работоспособность мозга, улучшите память и станете более дисциплинированным, чем были до сегодняшнего дня.","You will boost your brain performance, improve memory, and become more disciplined than you were before today."
Это позволит вам решить множество проблем в карьере и взаимоотношениях с людьми.,This will allow you to solve many problems in your career and relationships with people.
"В книге вы найдете информацию о разнообразии симптомов СДВГ, которые свидетельствуют о существенном ухудшении функционирования мозга, а также узнаете о том, как искоренить первопричину этого синдрома, чтобы уверенно двигаться к процветанию.","In the book, you will find information about the variety of ADHD symptoms that indicate a significant impairment in brain functioning, as well as learn how to eliminate the root cause of this syndrome to confidently move towards thriving."
"• В первой книге цикла я сделал акцент на исцелении мозга и методах раскрытия интеллектуального и эмоционального потенциала, скрытого в каждом из нас от рождения.","In the first book of the series, I focused on healing the brain and methods of unlocking the intellectual and emotional potential hidden within each of us from birth."
• Во второй книге я подробнее остановлюсь на трех эффективных шагах по развитию этого потенциала.,"In the second book, I will elaborate on three effective steps to develop this potential."
"• Третья книга даст вам глубокое понимание принципов, соблюдая которые можно научиться правильно расслаблять утомленный мозг, наполнять его новой энергией и поддерживать отличную работоспособность.","The third book will give you a deep understanding of the principles that, when followed, can help you learn how to properly relax a tired mind, replenish it with new energy, and maintain excellent productivity."
"Итак, у вас в руках первая часть задуманной мною трилогии.","So, in your hands is the first part of the trilogy I have planned."
"Нам предстоит хорошенько разобраться в причинах, симптомах, последствиях СДВГ и способах исцеления от него, а также отточить важные функции мозга, в числе которых запоминание информации и фокусирование внимания.","We need to thoroughly understand the causes, symptoms, and consequences of ADHD, explore ways to treat it, and refine important brain functions, including memory retention and attention focusing."
"Если говорить более кратко и просто, то главной помехой для нормальной работы головного мозга являетсяоксидативный,или окислительный,стресс,то есть избыток в мозгесвободных радикаловпри недостатке нейтрализующих ихантиоксидантов.","To put it more briefly and simply, the main obstacle to the normal functioning of the brain is oxidative stress, which is an excess of free radicals in the brain with a lack of neutralizing antioxidants."
"Большинство людей не знают, что такое оксидативный стресс.",Most people do not know what oxidative stress is.
"Между тем на сайте Национальных институтов здравоохранения по этой теме можно обнаружить целых 100 тысячстатей, прошедших экспертную оценку!","Meanwhile, on the National Institutes of Health website, you can find a total of 100 thousand peer-reviewed articles on this topic!"
"Факты о функционировании мозга довольно сложны для понимания, но нам с вами необходимо освоить хотя бы базовую информацию.","Facts about brain functioning are quite complex to understand, but it is necessary for us to grasp at least the basic information."
"Только так мы сможем применить в повседневной жизни актуальные идеи, появляющиеся в результате новых открытий в сфере исследования работы мозга.",Only in this way can we apply in everyday life the relevant ideas emerging from new discoveries in the field of brain research.
"В этой книге мы рассмотрим механизм возникновения окислительного стресса и те многочисленные действия, которые человек совершает неосознанно, запуская тем самымэтот механизм.","In this book, we will examine the mechanism of oxidative stress development and the numerous actions that people perform unconsciously, thereby triggering this mechanism."
"Также вы узнаете о способах предотвращения подобных ошибочных действий.Борьба с оксидативным стрессом
   Каждая мысль, каждое чувство и каждая эмоция, возникая и развиваясь в нервной системе, сопровождается расходами определенного количества энергии.","You will also learn about ways to prevent such erroneous actions. Combating oxidative stress Every thought, every feeling, and every emotion, as it arises and develops in the nervous system, is accompanied by the expenditure of a certain amount of energy."
В процессе выработки новой энергии в нашем организме образуются агрессивные формы кислорода – свободные радикалы.,"In the process of producing new energy, our bodies generate aggressive forms of oxygen – free radicals."
"Этого избежать невозможно, но благодаря антиоксидантам свободные радикалы нейтрализуются, и оксидативный стресс, таким образом, предотвращается.","It is impossible to avoid this, but thanks to antioxidants, free radicals are neutralized, and oxidative stress is thus prevented."
Что такое свободные радикалы и антиоксиданты?,What are free radicals and antioxidants?
В упрощенном виде это можно описать так.,"In simplified form, it can be described like this."
"Первые представляют собой незавершенные, «несовершенные» молекулы, которые стремятся «привязаться» к полноценным, чтобы достичь стабильного состояния.","The first ones are incomplete, ""imperfect"" molecules that seek to ""attach"" to complete ones to reach a stable state."
"А антиоксиданты – это не просто полноценные молекулы, но еще и обладающие дополнительными электронами, с помощью которых они присоединяют к себе свободные радикалы.","Antioxidants are not just complete molecules, but also possess extra electrons with which they attach free radicals to themselves."
"Первые и вторые взаимодействуют между собой, обеспечивая здоровое состояние мозга.","The first and second interact with each other, ensuring a healthy state of the brain."
Это похоже на свидания.,It's like dating.
"«Неполноценные» свободные радикалы ищут свои «вторые половинки», то есть молекулы, обладающие электронами, необходимыми для установления связи и создания «крепкой» и «счастливой» пары.","""Deficient"" free radicals are looking for their ""other halves,"" that is, molecules with electrons necessary to form bonds and create a ""strong"" and ""happy"" pair."
"Такой «брачный сезон» происходит до тех пор, пока в организме присутствует достаточное количество антиоксидантов.","Such a ""mating season"" occurs as long as there is a sufficient amount of antioxidants in the body."
"Наверное, вы знаете, что сегодня репутацию наилучшего борца с онкологическими заболеваниями и возрастным ухудшением памяти имеет черника.",You probably know that today blueberries have the best reputation for fighting cancer and age-related memory decline.
"Причина в том, что в ней содержится очень большое количество антиоксидантов.",The reason is that it contains a very large amount of antioxidants.
"• Согласно результатам исследований, если человек через день употребляет ягоды черники в объеме, равном примерно одному стакану, то у него значительно снижается риск возникновения рака и болезней сердца.","According to research findings, if a person consumes a cup of blueberries every other day, they significantly reduce the risk of developing cancer and heart disease."
"• Исследования, проведенные Министерством сельского хозяйства США, свидетельствуют о том, что дикая черника является самым богатым источником антиоксидантов посравнению с двадцатью другими протестированными фруктами.",Research conducted by the U.S. Department of Agriculture indicates that wild blueberries are the richest source of antioxidants compared to twenty other tested fruits.
"• По результатам прочих исследований, употребление черники способствует улучшению когнитивных функций, таких как, например, запоминание информации и способность к обучению, а также служит отличным средством профилактики болезней Альцгеймера и Паркинсона.","According to other studies, the consumption of blueberries contributes to the improvement of cognitive functions, such as memory and learning abilities, and also serves as an excellent preventive measure against Alzheimer's and Parkinson's diseases."
"В чернике много «совершенных» молекул, имеющих большое число дополнительных электронов, которые позволяют образовывать множество стабильных связей со свободными радикалами.","Blueberries contain many ""perfect"" molecules with a large number of extra electrons, which allow them to form numerous stable bonds with free radicals."
"И все же, если говорить о переходе на оптимальный для организма стиль питания, стоит заметить, что добавить в диету только чернику будет недостаточно.","Still, when it comes to switching to an optimal diet for the body, it should be noted that adding only blueberries to the diet will not be enough."
"Нужно наладить режим поступления в организм всех необходимых питательных веществ, чтобы он всегда мог самостоятельно образовывать антиоксиданты и не был вынужден ждать помощи от одной лишь черники, например.","It is necessary to establish a regime of providing the body with all essential nutrients so that it can always independently produce antioxidants and not have to rely solely on the assistance of blueberries, for example."
"Именно тогда, когда не хватает антиоксидантов, возрастающая масса свободных радикалов вызывает окислительный стресс, который в свою очередь ведет к повреждению клеток мозга, ухудшению его работы и способности развиваться.","It is precisely when antioxidants are lacking that the increasing mass of free radicals causes oxidative stress, which in turn leads to brain cell damage, deterioration in its function, and ability to develop."
Выработка энергии – не единственная причина образования свободных радикалов.,Energy production is not the only cause of free radical formation.
"Ежесекундно мозг среднестатистического человека подвергается «бомбардировке» свободными радикалами из-за:
   • недостатка питательных веществ;
   • избыточного употребления фаст-фуда;
   • загрязнений окружающей среды;
   негативных последствий приема различных медицинских препаратов, в том числе содержащих относительно безопасные ингредиенты и отпускаемых без рецепта врача.","Every second, the brain of an average person is ""bombarded"" by free radicals due to: 
   • a lack of nutrients;
   • excessive consumption of fast food;
   • environmental pollution;
   the negative effects of taking various medications, including those containing relatively safe ingredients and available over the counter."
"Если возникающую по перечисленным причинам массу свободных радикалов не привести в стабильное состояние с помощью обильного количества антиоксидантов, то оксидативный стресс не заставит себя ждать.","If the mass of free radicals arising from the listed reasons is not stabilized with the help of abundant antioxidants, oxidative stress will not be long in coming."
"Логично предположить, что для решения проблемы нужно выполнить три шага.",It is logical to assume that solving the problem requires three steps.
1.,Translate this phrase.
Предотвратить факторы образования излишнего количества свободных радикалов.,Prevent factors that lead to the formation of excessive amounts of free radicals.
2.,2.
Стимулировать повышенное образование антиоксидантов.,Stimulate increased production of antioxidants.
3.,Three.
"Начать употребление пищи, богатой антиоксидантами.",Start consuming foods rich in antioxidants.
"Окислительный стресс приводит к появлению симптомов СДВГ, а также к развитию таких нарушений и недугов, как ухудшение памяти, депрессия, повышенная тревожность и повышенная импульсивность.","Oxidative stress leads to the onset of ADHD symptoms, as well as the development of disorders and ailments such as memory impairment, depression, increased anxiety, and heightened impulsivity."
"В общем, последствия печальны для всех аспектов работы мозга.","Overall, the consequences are sad for all aspects of brain function."
"В числе симптомов оксидативного стресса у детей можно отметить такие неприятные перемены в поведении, как неспособность фокусировать внимание и рассеянность, мешающая усваивать материал школьной программы.",Among the symptoms of oxidative stress in children are unpleasant behavioral changes such as an inability to focus attention and distractibility that hinders the assimilation of school curriculum material.
"Для представителей старшего поколения последствия еще неприятнее: деменция, болезнь Паркинсона и болезнь Альцгеймера.","For the older generation, the consequences are even more unpleasant: dementia, Parkinson's disease, and Alzheimer's disease."
"Заболевания, обозначаемые общим термином «амилоидоз», которые провоцируют отложение патологических белков в органах и тканях, тоже являются следствием оксидативного стресса и напрямую связаны с ухудшением памяти и болезнью Альцгеймера.","Diseases referred to by the general term ""amyloidosis,"" which lead to the deposition of pathological proteins in organs and tissues, are also a consequence of oxidative stress and are directly linked to memory impairment and Alzheimer's disease."
"Нередко амилоидоз обнаруживают у детей, страдающих аутизмом.",It is not uncommon for amyloidosis to be detected in children with autism.
Данные о заболеваемости СДВГ среди представителей младших поколений шокируют.,Data on ADHD prevalence among younger generations is shocking.
"Как я уже говорил, этот диагноз ставят 10 % американских детей.","As I have already said, this diagnosis is given to 10% of American children."
"Половина из них – это крохи, которым нет еще и 6 лет.",Half of them are tiny tots not yet 6 years old.
"У огромного количества детей, не входящих в упомянутые 10 %, в ранние годы тоже возникает окислительный стресс.","A vast number of children, not included in the mentioned 10%, also experience oxidative stress in their early years."
"Правда, проявляется он в симптомах, отличных от стандартной картины протекания СДВГ.","However, it manifests in symptoms that are different from the standard pattern of ADHD."
"Помимо прочего, оксидативный стресс, ведущий к СДВГ, провоцирует резкие колебания настроения, ухудшение способности к обучаемости и нарушение восприятия органами чувств.","Among other things, oxidative stress leading to ADHD provokes mood swings, impaired learning ability, and sensory perception disorders."
Нелегко приходится не только детям.,It's not only children who have it hard.
"К сожалению, очень часто даже резко выраженные симптомы СДВГ у взрослых не расцениваются врачами как тревожные сигналы.","Unfortunately, very often even pronounced symptoms of ADHD in adults are not regarded by doctors as warning signs."
На протяжении 40 лет я провожу консультации по вопросам взаимоотношений мужчин и женщин.,"For 40 years, I have been providing consultation on male and female relationship issues."
"В ходе консультаций выяснялось, что почти каждый мой клиент и почти каждая клиентка страдали от какой-либо формы СДВГ.","During the consultations, it turned out that almost every male client and almost every female client of mine suffered from some form of ADHD."
"Возможно, у вас такая же проблема, а вы даже не подозреваете об этом.",Perhaps you have the same problem and don't even realize it.
"Может быть, и не будете подозревать до тех пор, пока вам не исполнится 50 и вы не начнете все чаще забывать, где припарковали машину.",Maybe you won't suspect it until you turn 50 and start forgetting more often where you parked your car.
"Не у всех читателей найдется достаточно времени, чтобы тщательно изучить подробные описания исследований и их результатов, на основе которых я сформулировал своиидеи и рекомендации, вошедшие в эту книгу.","Not all readers will have enough time to thoroughly study the detailed descriptions of the research and its findings, on the basis of which I formulated my ideas and recommendations included in this book."
"Именно поэтому я не стал включать в нее детальные рассказы о работе ученых, чьи мнения и заключения стали фундаментом моей концепции исцеления.",That is why I did not include detailed accounts of the work of scientists whose opinions and conclusions became the foundation of my healing concept.
"Вместо этого я составилПриложение 4,в котором приводятся комментарии и ссылки, касающиеся экспериментов и важнейших научных открытий.","Instead, I have compiled Appendix 4, which includes comments and links related to experiments and major scientific discoveries."
"Все эти сведения позволят вам осознать принципы улучшения работы мозга и понять, каковы преимущества терапии, включающей только натуральные средства.",All this information will enable you to understand the principles of improving brain function and recognize the advantages of treatments that only involve natural remedies.
"Если вы осознаете, что страдаете СДВГ, и вам хотелось бы получить четкий план действий по излечению, то прочитайтеВведение,затемГлаву 4, Главу 10иПриложение 1.Такая последовательность для вас будет самой эффективной.","If you realize that you suffer from ADHD and would like to have a clear action plan for healing, then read the Introduction, then Chapter 4, Chapter 10, and Appendix 1. This sequence will be the most effective for you."
"ВГлаве 4вы найдете информацию о 15 скрытых причинах оксидативного стресса, препятствующих естественному самовосстановлению мозга.","In Chapter 4, you will find information about 15 hidden causes of oxidative stress that hinder the brain's natural self-repair."
"Когда вы сведете к минимуму воздействие этих факторов, вам удастся достичь значительного повышения работоспособности мозга, особенно на фоне натуральных методов исцеления, предлагаемых вГлаве 10иПриложении 1.","When you minimize the impact of these factors, you will be able to achieve a significant increase in brain performance, especially against the backdrop of natural healing methods offered in Chapter 10 and Appendix 1."
"ИзГлавы 10вы узнаете о естественных средствах улучшения функционирования мозга, эффективность которых подтверждена исследованиями, проводившимися двойным слепым методом.","From Chapter 10, you will learn about natural remedies for improving brain function, whose effectiveness has been confirmed by double-blind studies."
"Как вы знаете, достигать целей можно разными путями.","As you know, there are different ways to achieve goals."
"Я стремлюсь привести аргументы в пользу натуральной терапии, чтобы вы наконец смогли со спокойной душой отказаться от популярных медицинских препаратов и сделали шаг в сторону природных источников здоровья.",I strive to present arguments in favor of natural therapy so that you can finally peacefully forego popular medical drugs and take a step towards natural sources of health.
"ВПриложении 1я привожу список натуральных добавок, которые помогут вам мыслить более эффективно.","In Appendix 1, I provide a list of natural supplements that will help you think more effectively."
"После того как вы прочитаете эти четыре части книги и примените полученную информацию на практике, работоспособность вашего мозга повысится и вы сможете приступить к тщательному изучению всех остальных глав.","After you read these four parts of the book and apply the information in practice, your brain's performance will increase, and you will be able to thoroughly study all the other chapters."
Идеи и советы из первой книги данного цикла послужат отличным фундаментом для максимально плодотворной работы вашего мозга.,The ideas and advice from the first book of this series will serve as an excellent foundation for the most productive work of your brain.
Спустя время это путешествие по интеллектуальным и нравственным вершинам философии процветания мы с вами продолжим и дальше – уже во второй и третьей книгах.,"After some time, we will continue this journey through the intellectual and moral peaks of the philosophy of prosperity in the second and third books."
"Джон Грей
   Июль 2014 года
   Введение.","John Gray
July 2014
Introduction."
"Болезнь, с которой все началось
   Как-то раз вечером, поужинав с женой, я сел смотреть телевизор.","The illness with which it all began: One evening, after having dinner with my wife, I sat down to watch TV."
"Через некоторое время жена подошла и сказала: «Джон, у тебя трясется голова».","After a while, his wife came over and said, ""John, your head is shaking."""
И это действительно было так.,And it really was so.
"Сперва я понятия не имел, что со мной происходит.","At first, I had no idea what was happening to me."
"Затем стал ощущать, что у меня не получается контролировать движения головы.",Then I started to feel that I couldn't control the movements of my head.
"Я заметил, что она вдруг сама начинала слегка покачиваться вперед-назад каждый раз, когда я пытался сфокусировать внимание.",I noticed that she suddenly started to slightly sway back and forth every time I tried to focus my attention.
"Шли дни, и тремор, то есть непроизвольные ритмичные движения головы, время от времени то возникал, то прекращался.","The days went by, and the tremor, that is, the involuntary rhythmic movements of the head, occasionally appeared and disappeared."
"Однако каждый следующий приступ был ощутимее предыдущего и доставлял мне все больше неудобств, чем раньше.","However, each subsequent attack was more noticeable than the previous one and caused me more discomfort than before."
Мой врач в ответ на мои жалобы сказал: «Это вполне закономерно.,"My doctor responded to my complaints by saying, ""This is quite normal."""
Вам ведь уже немало лет.,You are already quite old.
"Но не волнуйтесь, существуют эффективные способы лечения от подобных недугов».","But don't worry, there are effective ways to treat such ailments."
А потом совершенно спокойным тоном произнес: «У вас ранняя стадия болезни Паркинсона».,"Then, in a completely calm tone, he said, ""You have an early stage of Parkinson's disease."""
Для меня это прозвучало как смертный приговор.,"To me, it sounded like a death sentence."
"Ведь я прекрасно помнил, как некоторое время назад принимал участие в лечении тети моей жены от этого заболевания.",For I remembered perfectly well how some time ago I took part in treating my wife's aunt for this disease.
"И своим глазами видел, что традиционная терапия, назначенная тогда врачами, позволила лишь подавить симптомы.",And I saw with my own eyes that the traditional therapy prescribed by doctors at the time only suppressed the symptoms.
"Состояние женщины неумолимо ухудшалось, и спустя некоторое время она умерла.","The woman's condition relentlessly deteriorated, and after some time, she passed away."
